timestamp,iMC0.MEM_BW_TOTAL,iMC1.MEM_BW_TOTAL,iMC2.MEM_BW_TOTAL
0.901824219,192.236572266,191.779052734,650.84967041
1.702738886,1.02264404297,2.30725097656,1.18463134766
2.503828230,1.13653564453,2.49401855469,1.42462158203
3.304823846,1.19525146484,2.44244384766,1.54193115234
4.105836383,1.71417236328,2.98669433594,2.56896972656
4.806629386,1.08062744141,2.37805175781,1.39996337891
5.607662020,1.17114257812,2.44775390625,1.31634521484
6.408730606,2.35968017578,3.65521240234,3.89544677734
7.209739639,1.15026855469,2.52593994141,1.28936767578
8.010919072,1.82049560547,3.17248535156,2.36645507812
8.811911479,1.55798339844,2.82446289062,2.24719238281
9.512847228,1.13128662109,2.52606201172,1.37347412109
10.313896204,1.14196777344,2.51843261719,1.35583496094
11.114914486,1.15338134766,2.45886230469,1.44665527344
11.915975776,317.692687988,321.549987793,354.795532227
12.716979818,1.19989013672,2.51281738281,1.48406982422
13.518015852,1.29168701172,2.61853027344,1.63018798828
14.219175809,100.988891602,101.483337402,799.40802002
15.020606137,101.800354004,102.106750488,799.861999512
15.822119085,102.344055176,102.348083496,803.775634766
16.623786937,101.291870117,101.696044922,800.90447998
17.425296016,101.643249512,101.99597168,803.74407959
18.126860329,100.563903809,100.811706543,816.792480469
18.227064091,103.431762695,104.246459961,803.275634766
18.928368874,101.485046387,101.85559082,802.652587891
19.729898206,101.171875,101.944946289,798.338745117
20.531557530,92.7884521484,93.182800293,719.561279297
21.333079742,101.196228027,101.357421875,801.731445312
22.134671447,100.553344727,100.847900391,799.741638184
22.835941268,101.827270508,102.082397461,807.282470703
23.637462331,101.918640137,102.292724609,804.410827637
24.439608692,92.9132080078,93.2639770508,717.14276123
25.241089643,101.530517578,101.898925781,802.550476074
26.042654965,101.801208496,102.20123291,804.902587891
26.844138241,93.2037353516,93.5310668945,720.257568359
27.545493118,101.350280762,101.762573242,804.456726074
28.347223585,92.9467163086,93.0806274414,707.618774414
29.148737837,102.537841797,102.623840332,811.395812988
29.950463048,102.379882812,102.875427246,801.520385742
30.751934392,101.029418945,101.503723145,796.539672852
31.453568186,109.340209961,108.70526123,813.168273926
31.553769442,99.633605957,100.128234863,806.037902832
